Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
Lynn Marie Cares,,Tanya Jones,6469383845,,tanyajoneswilson@yahoo.com,"MBE,WBE",12/31/2016;12/31/2016,BLACK,955 Cauldwell Avenue,Apt. 4E,Bronx,NY,10456,955 Cauldwell Avenue,Apt. 4E,Bronx,New York,10456,http://www.lmcevents.com,08/02/2005,,,"A full service lifestyle management company specializing in personal time management, event coordinating, planning and design, can plan the event or simply assist to making it a complete success, also provide cleaning services, decluttering and organizing services as well as personal and virtual assistance",,,,0,,,,,0,,,,,0,,,,,0,,,
Right Angle Construction Inc.,,Diego Cortazar,9176875277,347 923-3026,diego@rightangle1.com,MBE,05/30/2020,HISPANIC,38 Vincent Place,,Lynbrook,NY,11563,38 Vincent Place,,Lynbrook,New York,11563,http://www.rightangle1.com,01/08/2013,,,"Drywall installation, plaster, kitchen & bathroom remodel, wall & floor tile installation, window & door installation.  Wood, engineer floor installation, base, rail, crown molding installation, deck, fence, installation, drop ceiling, cement work.",No,Residential Building Construction,Rebuilding Together,21709.04,40,07/01/2015,Removal of existing siding installation of new siding & new roof,Rebuilding Together,20810,50,08/01/2015,Window installation roof shingles,Antonia Baker,9789,100,02/01/2014,Kitchen Remodel,,0,,,
Fourth Avenue Merchants Inc.,Brown & Brown Development & Construction Group,Tarantej Arora,7183434445,718 343-1971,ny_singhzzz@yahoo.com,MBE,04/30/2019,ASIAN,260-07 Hillside Avenue,1st Floor,Floral Park,NY,11004,260-07 Hillside Avenue,1st Floor,Floral Park,New York,11004,,11/19/2010,,,"General contractor in construction industry, new ground up construction of residential homes, interior renovations, extension, concrete paving & sidewalks, driveways & curb, masonry, tiling, brick & blocks, decks & patios.",No,Residential Building Construction,Arik Kaur,372000,45,09/01/2011,"Conversion from 1 to 2 family, new brick work, all new plumbing, electrical, HVAC system, custom staircases & architectural moldings, coordinated with DASNY & Dept. of Health, NYS",Devaraj Vijayakumar,158500,50,11/01/2012,"Existing 1 family house, new windows, plumbing & electrical on the 2nd floor, all interior remodeled including bathrooms & kitchen",Friba Aminyar,195000,50,09/01/2012,"Conversion from 1 to 2 family, new brick & siding, new plumbing & electrical on 2nd fl. All new heating system, concrete walkway, hardwood flooring & tiling work, split A/C",Arik Kaur,372000,45,09/01/2011,"Conversion from 1 to 2 family, new brick work, all new plumbing, electrical, HVAC system, custom staircases & architectural moldings, coordinated with DASNY & Dept. of Health, NYS"
"Marcia R. Fox, LLC",Fox Management Consulting,Marcia Fox,2127348937,212-288-5783,marciarfox@gmail.com,WBE,,NON-MINORITY,151 East 83rd Street,Unit 10 E,New York,NY,10028,151 East 83rd Street,Unit 10 E,New York,New York,10028,http://www.foxmanagementconsulting.com,01/15/1997,,,"Provide consulting, research, curriculum development, delivery and project management of management and leadership training programs and materials. Previous experience creating: innovative leadership, performance management, communications, entreprenuership selection interviewing and career decision programs to NYC Senior executives, Fortune 500 professionals and college youth. Turnkey capacity.",,,NYC DCAS,2000,,07/01/2010,Consulting and curriculum design for executive leadership/mgt education training programs,NYC DCAS,5000,,07/01/2010,Consulting and curriculum design for executive leadership/mgt education training programs,NYC DCAS,7500,,07/01/2010,Consulting and curriculum design for executive leadership/mgt education training programs,,0,,,
"Blue Ribbon Farrier Supplies, Inc.",,Susan Gwen,6318744847,6318474847,Blueribbon@optonline.net,WBE,,NON-MINORITY,425 Main Street,,Center Moriches,NY,11934,P.O. Box 1158,,Center Moriches,New York,11934,,05/01/2001,,,Horse Shoe supplies and various related products.,,,,0,,,,,0,,,,,0,,,,,0,,,
"Team Support Services, Inc.",,Elizabeth Bovino,9082562902,908 620-0308,teamsup@aol.com,WBE,,NON-MINORITY,1 Charleston Court,,Basking Ridge,NJ,07920,1 Charleston Court,,Basking Ridge,New Jersey,07920,http://www.tss-teamsupport.com,08/03/1998,,,"Consulting firm providing cost management, administrative and document control services for large construction projects.",,,Port Authority of NY & NJ,7600000,,01/01/2013,"Provide Cost Analysis, Administrative Services and Document Management.",Port Authority of NY & NJ,2500000,,01/01/2004,Cost Analysis Report Writing Administer Doc. Mgt.,Port Authority of NY & NJ,1500000,,01/01/2002,Cost Analysis Report Writing Administer Doc. Mgt.,,0,,,
"Better Helpers, Inc.",,Sharon Bowen,2124318016,212 431-8470,betterhelpers@verizon.net,"MBE,WBE",05/31/2017;05/31/2017,BLACK,401 Broadway,Suite 905,New York,NY,10013,401 Broadway,Suite 905,New York,New York,10013,,12/31/2003,156000,,"Better Helpers, Inc - New York State Licensed Homecare agency. Full service: RN, LPN's HHA and PCA housekeeping. Also provide nutritionist, speech, pathologist, occupational therapy, physical therapy and medical social worker.",,,,0,,,,,0,,,,,0,,,,,0,,,
Lalique General Contractors Inc.,,Patrick Innocent,4077979270,3473265886,lgc@earthlink.net,MBE,06/29/2020,BLACK,199 Lincoln Ave,Suite 303,Bronx,NY,10454,199 Lincoln Ave,Suite 303,Bronx,New York,10454,http://www.laliquegeneralcontrcting.org,11/17/2009,,,Provide general construction services.,No,Building Construction (non-Residential),Jimmerson Housing Co.,59503,100,01/01/2014,Repair of several garage doors.,Abbott House,22932,100,05/04/2015,Installation of 6x4 concrete pads in various locations in the Westchester area for generators.,Jimmerson Housing,70000,100,10/01/2014,"Install trench on roof with 9 drains, concrete masonry repair and paint.",,0,,,
Belier Construction Corp.,,Anamarie Novoa,9172880904,201 907-3186,beliercorp@gmail.com,WBE,,NON-MINORITY,108 Munn Avenue,,Teaneck,NJ,07666,P.O. Box 1675,,Fort Lee,New Jersey,07024,http://www.belierconstruction.com,04/18/2004,,,"Interior & Exterior Renovations: Masonry, concrete patching, carpentry, window and door replacement/refurbishing, flooring, painting.",No,Building Construction (non-Residential),NYC DOE,24000,100,08/01/2013,Flooring Installation,NYCHA,97599,100,11/01/2013,Flooring Installation,Hawthorne Board of Ed.,111119,100,08/01/2012,Floor Replacement,NYC DOE,211594,100,11/01/2013,Gym Flooring Installation
"SY Kim Land Surveyor, PC",,Eugene Kim,5187853969,5187851608,ekim@sykimls.com,MBE,06/30/2017,ASIAN,404 Klondike Avenue,,Staten Island,NY,13104,592A New Loudon Road,,Latham,New York,11211,http://www.sykimls.com,01/01/1974,,,"Land surveying, construction stakeout, layout, monitoring property boundary surveys, topographic surveys, 3D laser scanning, highway/ROW design surveys, subdivision design land development and civil/site design.",,,Langan Motors,22000,70,08/01/2014,Topographic/Boundary Survey and conceptual site design.,Village of Corinth,20000,50,10/01/2014,"Topographic, design survey for Village Waterline design and roadway redesign.",Weeks Marine,43875,50,12/01/2013,Barge measuremens in Port of Coeymans for Weeks Marine and Tappan Zee Constructors.,,0,,,
Silverlands Construction,,Madhu Rajan,6099037777,908 754-7788,madhu@silverlands.us,MBE,06/30/2017,ASIAN,60 Sip Avenue,,Jersey City,NJ,07306,1059 King Georges Port Road,Suite 100,Edison,New Jersey,08837,http://www.silverlands.us,12/06/2006,6000000,,A full service general construction company serving the needs of the public sectors. Our mission is to continue quality building construction by providing a high quality construction product at a competitive price. Our commitment is to work to achieve excellence on each project and consistently trat all involved with utmost integrity.,,,MTA,457777,,12/01/2010,"New stair canopy, lead abatement, sidewalk, steel work, electrical, roofing, painting","City of Trenton, NJ",135000,,12/01/2010,"Sitework @ cresent wire George Page Park. New side walls, brick paving, fencing, etc.",NJSDA,798948,,01/01/2009,"New parking lot, electrical, land scapimg, demolition of structures.",,0,,,
Samudaworth Tree Service LLC,,Venola Pinkney,9179022165,8454966467,samudaworthtree@aol.com,"MBE,WBE",05/31/2017;05/31/2017,BLACK,8903 Avenue B,,Brooklyn,NY,11236,47 Cherry Hill Rd,,Blooming grove,New York,10914,http://www.samudaworthtree.com,06/29/2012,,,"Tree removal, tree pruning, tree trimming, tree planting, stump grinding, landscaping, landscape design gardening, ponds & water features, snow removal, emergency tree service and storm damage.",,,Clinton hill Apt Owners Corp.,6968,100,11/09/2012,Tree Service,Impact Real Estate Mgmt,9700,100,11/13/2012,Tree Service,Virginie Sommet,10651,100,09/19/2013,Landscaping,,0,,,
Kaas Construction,,Shahidul Islam,7184355227,7186335227,kaasconstruction@gmail.com,MBE,11/29/2019,ASIAN,514 Ocean Pkwy,Ste # 5H,Brooklyn,NY,11218,514 Ocean Pkwy,Ste # 5H,Brooklyn,New York,11218,,03/23/2011,,,"Roofing commercial and residential, Flooring, Tiles, Hardwood Floor, Doors & Windows, Stucco, Brown Stone, Sidewalk",,,,0,,,,,0,,,,,0,,,,,0,,,
Promecin Inc.,,Rosa Saldana,6464184038,7183051833,rsaldana@promecin.com,MBE,09/30/2017,HISPANIC,1717 Montgomery Place,#1,Bronx,NY,10461,1717 Montgomery Place,#1,Bronx,New York,10461,http://www.promecin.com,07/21/2005,,,"Systems integrator: IT infrastructure design, support, and implemenatation. Server and Services virtualization. Local, Public and Hybrid cloud experts. Voice over IP (VOIP). Email, Spam Filter, Fax Server, Unified communication server. Local and Cloud Storage Certified Engineers, EMC, IsiIon, Compellent, NetAPP, QNAP, HP. Disaster Recovery: Recoverpoint, SRDF, VMWARE, SRM, SyncIQ, rsync. Cloud: AWS, Rackspace, Azure, Google cloud, VDI, Automation. Event Planning: Corporate, Non for Profit and Social Events-Providing: Event designing, development and production. Consultation, Event budgeting and budget management-Event concept and programming, Timeline creation, entertainment, onsite management sponsorship.",,,African Services,0,,06/15/2015,Server virtualization,ATAX,0,,01/10/2012,Server virtualization,Univ Medical oddice,0,,09/20/2012,Intallation of new office,,0,,,
Work of Art Painting Company,,William Thomas,6462328507,201 833-2442,william07666@yahoo.com,MBE,01/31/2017,BLACK,1094 Congress Avenue,,Teaneck,NJ,07666,1094 Congress Avenue,,Teaneck,New Jersey,07666,,07/08/2003,,,"Since 2003 Work of Art Painting Company has provided high quality interior & exterior painting services. Work of Art Painting company is organized and structured to provide an open forum for a wide range of services for painting. Its owner, Mr. Williams",,,Columbia University,127481,,05/23/2011,"Provided painting of all previous painted surfaces in student rooms, corridors, bathrooms, kitchen",Columbia University,51660,,05/31/2010,"Provided painting of all previous painted surfaces in student rooms, corridors, bathrooms, kitchen",Columbia University,39800,,05/26/2009,"Provided painting of all previous painted surfaces in student rooms, corridors, bathrooms, kitchen",,0,,,
"Daffodil General Contracting, Inc.",,Mohammed Adam,7183987399,718 398-7696,daffodilinc@aol.com,MBE,04/30/2017,ASIAN,1039A Pacific Street,1st Floor,Brooklyn,NY,11238,1039A Pacific Street,1st Floor,Brooklyn,New York,11238,,01/01/1990,4000000,,General Contractor.,,,"620-622 East 11th St. Associates, LLC",90000,,09/01/2011,Remove paint from bricks painted firexcapes and build parapet wall,"110-112 East 7th St. Assoc., LLC",130000,,05/31/2011,Remove and rebuild parapet wall,427 E 6th Street Corp.,130000,,08/13/2010,Brickwork at facade art room,,0,,,
"Vista Skywall Systems, LTD.",,Peter Chen,6467395111,718 947-0879,peter@vistaskywall.com,MBE,03/31/2016,ASIAN,31-10 Whitestone Expressway,,Flushing,NY,11354,31-10 Whitestone Expressway,,Flushing,New York,11354,http://www.vistaskywall.com,11/01/2005,,,Custom window fabrication and door installation.,,,Dept of Sanitation,0,,12/03/2007,Replace windows,The Shannon Group,0,,10/26/2007,Replace windows,Mega Contracting Inc,0,,11/26/2007,Install all windows,,0,,,
JTG Scaffolding & Hoisting LLC,,Gerry Kane,9088628844,9088628832,gerry@jtgscaffolding.net,MBE,03/31/2016,HISPANIC,309 West Elizabeth Avenue,,Linden,NJ,07036,309 West Elizabeth Avenue,,Linden,New Jersey,07036,http://www.jtgscaffolding.com,08/04/2009,,,"Sale, rental, installation, dismantle of scaffold, sidewalk shed and personnel and materials hoist equipment",,,Blade Contracting,204284,,10/30/2009,Install & dismantle heavy duty sidewalk bridging & pipe scaffold,LVI Mazzocchi,1046541,,07/30/2010,Install & dismantel heavy duty sidewalk bridging & scaffold,AJS Project Management,237850,,03/30/2010,Install & dismantle heavy duty sidewalk bridging,,0,,,
"Ena's Driving School, Inc.",,Rajendra Hariprashad,7184136664,718 217-4439,rajinususmc@yahoo.com,MBE,11/29/2019,ASIAN,189-17 Jamaica Avenue,1st Fl.,Hollis,NY,11423,189-17 Jamaica aAvenue,1st Fl.,Hollis,New York,11423,http://www.enasdrivingschool.com,01/29/2009,,,"Ena's Driving School provide classroom training for the 5 and 6 hour class.  Ena's also teaches individual to drive car, bus, truck, tractor- trailer and motorcycle.",,,Myles Quock,355,100,07/13/2014,Practice driving lessons to prepare for Road Test.,Marcus Torres,2000,100,08/19/2014,Practice driving lessons to prepare for Road Test.,Orane Jones,2000,100,07/18/2014,Practice driving lessons to prepare for Road Test.,,0,,,
KPA Studio Inc.,,Ji Han Kim,3477891212,347 789-1213,acc@kpaft.com,MBE,02/28/2019,ASIAN,130-28 91st Avenue,,Richmond Hill,NY,11418,130-28 91st Avenue,,Richmond Hill,New York,11418,http://www.kpaft.com,04/24/2006,,,"Fabrication and installation , architectural metals, windows, railing and curtain wall.",,,MTA / Forte Construction,1400000,,11/01/2013,"Myrtle Avenue 5 Stations Rehab - Windows, Translucent Panels, & Glazing.",Harco Consultants,310000,,02/01/2013,2166 Nostrand - Curtain Wall,Legacy Builder,820000,,12/01/2013,Carnegie Park - Architectural Metals,,0,,,
Project Cost Associates Corporation,,Festus Ezeji,9734419023,973 391-1383,projectcost1@verizon.net,MBE,09/30/2018,BLACK,240 Hillside Avenue,,Hillside,NJ,07205,240 Hillside Avenue,,Hillside,New Jersey,07205,http://www.projectcost.com,12/18/2006,,,"Project cost associates & a professional small business enterprises specializing in providing construction cost estimating, cost engineering, value engineering, cost analysis construction cost management services, scheduling to architect, owners and contractors.",,,Ronette Riley Architects,10500000,,10/01/2011,Cost estimating service for PANYNJ Corporate office building at Jersey City NJ,Ronald Schmidt Architects,28720000,,04/01/2013,Cost estimating service on program study,William Garrison McNeil Architects,5967000,,08/01/2010,Cost estimating service on Renovation Office Project at Brooklyn,,0,,,
"Mr. Hudson's Cleaning Service, LLC",,David Wilstshire-Craine,6463690080,5163055027,david.wc@mrhudsoncleaning.com,MBE,02/27/2020,BLACK,40 West 116th Street,Suite A604,New York,NY,10026,P.O. Box 1033,,New York,New York,10024,http://www.mrhudioncleaning.com,02/08/2013,,,"We provide janitorial services for Manhattan, Brooklyn, Queens and the Bronx.  Services include general cleaning, post-construction and post-renovation cleaning, and green cleaning. We offer 40 + years combined business management experience, commitment to superior quality, customer-centered service and being eco-friendly.  Experience includes mid-to-large offices, theaters, banks, schools and bio-technology.",,,,0,,,,,0,,,,,0,,,,,0,,,
"High End,  Inc.",,Veronika Turkevich,3479888324,,highendincorporated@gmail.com,WBE,,NON-MINORITY,2113 80th Street,3rd Floor,Brooklyn,NY,11214,2113 80th Street,3rd Floor,Brooklyn,New York,11214,http://www.highendinc.com,11/22/2013,,,"Commercial Painting and Interior Renovation, etc...",No,Building Construction (non-Residential),"All Star Concrete & Mason, Inc.",1000,100,04/01/2014,Commercial Painting and Interior Decorating,"All Star Concrete & Mason, Inc.",1000,100,11/01/2014,Commercial Painting and Interior Decorating,"All Star Concrete & Mason, Inc.",1313.65,100,01/01/2015,Commercial Painting and Interior Decorating,LMN Contracting LTD,2000,100,08/01/2014,Commercial Painting and Interior Decorating
